proxy_id,port
176.88.6.235,8080
103.245.198.174,8080
182.253.60.170,8083
96.95.164.41,3128
139.99.74.79,8080
181.111.16.123,3128
200.54.22.74,8080
40.91.94.165,3128
37.228.65.107,32052
51.79.144.52,3128
109.173.35.175,8080
182.23.79.162,39902
51.79.164.124,8080
200.155.139.242,3128
212.156.55.34,8080
203.158.167.25,8080
136.228.141.154,8080
189.8.7.115,80
103.153.232.3,8080
176.214.97.55,1256
103.16.12.141,8080
201.253.99.243,8080
51.79.207.112,8080
94.156.144.228,3128
113.176.94.186,8080
89.204.214.142,8080
103.71.61.217,8080
210.210.163.74,8181
92.84.56.10,50782
200.16.208.187,8080
119.93.234.41,41731
201.144.14.229,53281
187.19.158.13,80
62.182.114.164,60731
103.255.53.98,56031
197.245.230.122,41026
103.129.222.161,3000
168.181.196.76,8080
119.18.151.49,8080
45.189.57.217,9090
